FileName,FilePath,Format,Description
ai_ml_jobs_linkedin.csv,ai-and-ml-job-listings-usa/ai_ml_jobs_linkedin.csv,.csv,"ai-and-ml-job-listings-usa's ai_ml_jobs_linkedin.csv, containing 10 columns: [title, location, publishedAt, companyName, description, applicationsCount, contractType, experienceLevel, workType, sector], with 5 rows."
ai_job_market_insights.csv,AI_Job_market_insights/ai_job_market_insights.csv,.csv,"AI_Job_market_insights's ai_job_market_insights.csv, containing 10 columns: [Job_Title, Industry, Company_Size, Location, AI_Adoption_Level, Automation_Risk, Required_Skills, Salary_USD, Remote_Friendly, Job_Growth_Projection], with 5 rows."
ai_ml_jobs_linkedin.csv,AI_ML_Jobs_LinkedIn/ai_ml_jobs_linkedin.csv,.csv,"AI_ML_Jobs_LinkedIn's ai_ml_jobs_linkedin.csv, containing 10 columns: [title, location, publishedAt, companyName, description, applicationsCount, contractType, experienceLevel, workType, sector], with 5 rows."
Technographic Data .csv,b2b-technographic-data-in-germany/Technographic Data .csv,.csv,"b2b-technographic-data-in-germany's Technographic Data .csv, containing 7 columns: [Website Domain, Ticker, Technology Name, Technology ID, First Seen At, Last Seen At, Behind Firewall], with 5 rows."
Technographic Data .csv,b2b-technographic-data-in-switzerland/Technographic Data .csv,.csv,"b2b-technographic-data-in-switzerland's Technographic Data .csv, containing 7 columns: [Website Domain, Ticker, Technology Name, Technology ID, First Seen At, Last Seen At, Behind Firewall], with 5 rows."
data_science_salaries.csv,data_science_salaries/data_science_salaries.csv,.csv,"data_science_salaries's data_science_salaries.csv, containing 11 columns: [job_title, experience_level, employment_type, work_models, work_year, employee_residence, salary, salary_currency, salary_in_usd, company_location, company_size], with 5 rows."
My_Data.csv,from-data-entry-to-ceo-the-ai-job-threat-index/My_Data.csv,.csv,"from-data-entry-to-ceo-the-ai-job-threat-index's My_Data.csv, containing 6 columns: [Job titiles, AI Impact, Tasks, AI models, AI_Workload_Ratio, Domain], with 5 rows."
robotics_data.csv,industrial-robotics-and-automation-dataset/robotics_data.csv,.csv,"industrial-robotics-and-automation-dataset's robotics_data.csv, containing 7 columns: [Year, Industry, Robots_Adopted, Productivity_Gain, Cost_Savings, Jobs_Displaced, Training_Hours], with 5 rows."
jobs_in_data_2024.csv,jobs-and-salaries-in-data-field-2024/jobs_in_data_2024.csv,.csv,"jobs-and-salaries-in-data-field-2024's jobs_in_data_2024.csv, containing 12 columns: [work_year, experience_level, employment_type, job_title, salary, salary_currency, salary_in_usd, employee_residence, work_setting, company_location, company_size, job_category], with 5 rows."
occupation_salary.xlsx,occupation-salary-and-likelihood-of-automation/occupation_salary.xlsx,.xlsx,"occupation-salary-and-likelihood-of-automation's occupation_salary.xlsx, containing 20 columns: [OCC_CODE, OCC_TITLE, OCC_GROUP, TOT_EMP, EMP_PRSE, H_MEAN, A_MEAN, MEAN_PRSE, H_PCT10, H_PCT25, H_MEDIAN, H_PCT75, H_PCT90, A_PCT10, A_PCT25, A_MEDIAN, A_PCT75, A_PCT90, ANNUAL, HOURLY], with 5 rows."
Salary_Dataset_with_Extra_Features.csv,Software Industry Salary Dataset - 2022/Salary_Dataset_with_Extra_Features.csv,.csv,"Software Industry Salary Dataset - 2022's Salary_Dataset_with_Extra_Features.csv, containing 8 columns: [Rating, Company Name, Job Title, Salary, Salaries Reported, Location, Employment Status, Job Roles], with 5 rows."
Software_Professional_Salaries.csv,Software Industry Salary Dataset - 2022/Software_Professional_Salaries.csv,.csv,"Software Industry Salary Dataset - 2022's Software_Professional_Salaries.csv, containing 6 columns: [Rating, Company Name, Job Title, Salary, Salaries Reported, Location], with 5 rows."
